crop,prod_system,region,area
"Barley, winter",conventional,2521,0.0
"Barley, winter",conventional,311,136.23427622314594
"Barley, winter",conventional,312,32.585226611838216
"Barley, winter",conventional,321,389.7888130234369
"Barley, winter",conventional,322,0.0
"Barley, winter",conventional,411,285.2344958830038
"Barley, winter",conventional,421,93.4103372973786
"Barley, winter",conventional,422,20.876907974954275
"Barley, winter",conventional,431,28.647153695787928
"Barley, winter",conventional,511,7.32141559818982
"Barley, winter",conventional,512,14.592573708527803
"Barley, winter",conventional,513,1074.156173130755
"Barley, winter",conventional,514,531.6400918462248
"Barley, winter",conventional,515,263.6004765454266
"Barley, winter",conventional,521,15.342817100032065
"Barley, winter",conventional,611,2.0319943031136356
"Barley, winter",conventional,612,83.65830452471178
"Barley, winter",conventional,621,13.545521198759584
"Barley, winter",conventional,622,10.859164206989703
"Barley, winter",conventional,711,16.4330544123506
"Barley, winter",conventional,731,13.23508846483023
"Barley, winter",conventional,811,1321.6759844860144
"Barley, winter",conventional,812,924.7990537023036
"Barley, winter",conventional,813,125.88761714292667
"Barley, winter",conventional,814,9.235033651018416
"Barley, winter",conventional,821,51.60143780249537
"Barley, winter",conventional,831,22.374862440411814
"Barley, winter",conventional,911,995.055901040414
"Barley, winter",conventional,912,2120.1577888927854
"Barley, winter",conventional,913,388.4177702655311
"Barley, winter",organic,1011,34.8192894320516
"Barley, winter",organic,111,2.0301220917736096
"Barley, winter",organic,1111,12.055248437297955
"Barley, winter",organic,1112,3.122492532515304
"Barley, winter",organic,112,1.0064042189911688
"Barley, winter",organic,1121,18.5484241995046
"Barley, winter",organic,1122,11.712057329358915
"Barley, winter",organic,1123,10.161120367773627
"Barley, winter",organic,1124,1.3285571229307112
"Barley, winter",organic,1131,0.0
"Barley, winter",organic,1211,4.671128069860195
"Barley, winter",organic,1212,7.370392723120198
"Barley, winter",organic,1213,2.752003394265082
"Barley, winter",organic,1214,1.5287678404634957
"Barley, winter",organic,1215,11.537490867290819
"Barley, winter",organic,1216,8.053742563835593
"Barley, winter",organic,1221,1.4609491797304675
"Barley, winter",organic,1222,3.216776355010706
"Barley, winter",organic,1311,8.744621961839531
"Barley, winter",organic,1321,6.864488496080173
"Barley, winter",organic,1322,0.0
"Barley, winter",organic,1331,3.8538655129036554
"Barley, winter",organic,1411,0.0
"Barley, winter",organic,1412,0.7899748642254076
"Barley, winter",organic,1421,0.0
"Barley, winter",organic,1511,2.4099253360699486
"Barley, winter",organic,1512,6.477243010013746
"Barley, winter",organic,1521,1.1976010203651495
"Barley, winter",organic,1522,0.0
"Barley, winter",organic,1611,0.0
"Barley, winter",organic,1612,6.987577811823961
"Barley, winter",organic,1613,3.766485712448459
"Barley, winter",organic,1614,13.309767440047633
"Barley, winter",organic,1615,6.279904783330061
"Barley, winter",organic,1616,5.1630468322206955
"Barley, winter",organic,1617,0.5879424231956866
"Barley, winter",organic,1621,6.533485737384646
"Barley, winter",organic,1622,18.44423823699195
"Barley, winter",organic,1623,15.551513947869628
"Barley, winter",organic,1711,2.5640981699088314
"Barley, winter",organic,1712,0.0
"Barley, winter",organic,1713,0.1262079207920792
"Barley, winter",organic,1721,0.24850754154444304
"Barley, winter",organic,1722,7.764446817955344
"Barley, winter",organic,1723,0.0
"Barley, winter",organic,1724,0.0
"Barley, winter",organic,1811,1.5265024534608291
"Barley, winter",organic,1812,7.431787961708395
"Barley, winter",organic,1813,0.20594378813749886
"Barley, winter",organic,1821,3.233790360525522
"Barley, winter",organic,1911,10.204100400505217
"Barley, winter",organic,1912,0.25769652137774585
"Barley, winter",organic,1921,14.304112336605916
"Barley, winter",organic,1922,2.9586968004696215
"Barley, winter",organic,2011,2.2374965864632346
"Barley, winter",organic,2012,1.2790491593697386
"Barley, winter",organic,2019,0.0
"Barley, winter",organic,2111,1.8676607276333703
"Barley, winter",organic,2121,0.0
"Barley, winter",organic,2122,0.0
"Barley, winter",organic,2211,0.0
"Barley, winter",organic,2212,0.0
"Barley, winter",organic,2221,0.0
"Barley, winter",organic,2311,0.0
"Barley, winter",organic,2312,0.0
"Barley, winter",organic,2319,0.0
"Barley, winter",organic,2331,0.0
"Barley, winter",organic,2411,0.0
"Barley, winter",organic,2412,0.0
"Barley, winter",organic,2413,0.0
"Barley, winter",organic,2414,0.0
"Barley, winter",organic,2415,0.0
"Barley, winter",organic,2419,0.0
"Barley, winter",organic,2511,0.0
"Barley, winter",organic,2512,0.0
"Barley, winter",organic,2519,0.0
"Barley, winter",organic,2521,0.0
"Barley, winter",organic,311,16.085723776854046
"Barley, winter",organic,312,3.842773388161782
"Barley, winter",organic,321,36.277186976563094
"Barley, winter",organic,322,0.0
"Barley, winter",organic,411,4.499504116996208
"Barley, winter",organic,421,1.4556627026214053
"Barley, winter",organic,422,0.45509202504572654
"Barley, winter",organic,431,0.5188463042120706
"Barley, winter",organic,511,0.048584401810179936
"Barley, winter",organic,512,0.07742629147219408
"Barley, winter",organic,513,5.531826869244934
"Barley, winter",organic,514,2.7379081537753223
"Barley, winter",organic,515,1.3575234545733577
"Barley, winter",organic,521,0.11118289996793414
"Barley, winter",organic,611,0.12400569688636431
"Barley, winter",organic,612,5.039695475288222
"Barley, winter",organic,621,1.1864788012404146
"Barley, winter",organic,622,0.7328357930102976
"Barley, winter",organic,711,1.8209455876494025
"Barley, winter",organic,731,1.0909115351697687
"Barley, winter",organic,811,21.496015513985565
"Barley, winter",organic,812,13.3729462976963
"Barley, winter",organic,813,1.8203828570733291
"Barley, winter",organic,814,0.13296634898158552
"Barley, winter",organic,821,0.6665621975046274
"Barley, winter",organic,831,1.7211375595881861
"Barley, winter",organic,911,25.342098959585833
"Barley, winter",organic,912,53.99621110721443
"Barley, winter",organic,913,9.892229734468938
"Beans, dry",conventional,1011,0.0
"Beans, dry",conventional,111,0.0
"Beans, dry",conventional,1111,0.0
"Beans, dry",conventional,1112,0.0
"Beans, dry",conventional,112,0.0
"Beans, dry",conventional,1121,0.0
"Beans, dry",conventional,1122,0.0
"Beans, dry",conventional,1123,0.0
"Beans, dry",conventional,1124,0.0
"Beans, dry",conventional,1131,0.0
"Beans, dry",conventional,1211,0.0
"Beans, dry",conventional,1212,0.0
"Beans, dry",conventional,1213,0.0
"Beans, dry",conventional,1214,0.0
"Beans, dry",conventional,1215,0.0
"Beans, dry",conventional,1216,0.0
"Beans, dry",conventional,1221,0.0
"Beans, dry",conventional,1222,0.0
"Beans, dry",conventional,1311,0.0
"Beans, dry",conventional,1321,0.0
"Beans, dry",conventional,1322,0.0
"Beans, dry",conventional,1331,0.0
"Beans, dry",conventional,1411,0.0
"Beans, dry",conventional,1412,0.0
"Beans, dry",conventional,1421,0.0
"Beans, dry",conventional,1511,0.0
"Beans, dry",conventional,1512,0.0
"Beans, dry",conventional,1521,0.0
"Beans, dry",conventional,1522,0.0
"Beans, dry",conventional,1611,0.0
"Beans, dry",conventional,1612,0.0
"Beans, dry",conventional,1613,0.0
"Beans, dry",conventional,1614,0.0
"Beans, dry",conventional,1615,0.0
"Beans, dry",conventional,1616,0.0
"Beans, dry",conventional,1617,0.0
"Beans, dry",conventional,1621,0.0
"Beans, dry",conventional,1622,0.0
"Beans, dry",conventional,1623,0.0
"Beans, dry",conventional,1711,0.0
"Beans, dry",conventional,1712,0.0
"Beans, dry",conventional,1713,0.0
"Beans, dry",conventional,1721,0.0
"Beans, dry",conventional,1722,0.0
"Beans, dry",conventional,1723,0.0
"Beans, dry",conventional,1724,0.0
"Beans, dry",conventional,1811,0.0
"Beans, dry",conventional,1812,0.0
"Beans, dry",conventional,1813,0.0
"Beans, dry",conventional,1821,0.0
"Beans, dry",conventional,1911,0.0
"Beans, dry",conventional,1912,0.0
"Beans, dry",conventional,1921,0.0
"Beans, dry",conventional,1922,0.0
"Beans, dry",conventional,2011,0.0
"Beans, dry",conventional,2012,0.0
"Beans, dry",conventional,2019,0.0
"Beans, dry",conventional,2111,0.0
"Beans, dry",conventional,2121,0.0
"Beans, dry",conventional,2122,0.0
"Beans, dry",conventional,2211,0.0
"Beans, dry",conventional,2212,0.0
"Beans, dry",conventional,2221,0.0
"Beans, dry",conventional,2311,0.0
"Beans, dry",conventional,2312,0.0
"Beans, dry",conventional,2319,0.0
"Beans, dry",conventional,2331,0.0
"Beans, dry",conventional,2411,0.0
"Beans, dry",conventional,2412,0.0
