f_species,f_breed,f_prod_system,f_region,x0_animals
cattle,beef,conventional,1712,954.0074419561302
sheep,none,conventional,1712,1176.642511606071
pigs,none,conventional,1712,1203.1137573518247
poultry,layer,conventional,1712,6773.851635377554
poultry,broiler,conventional,1712,0.0
cattle,dairy,conventional,1713,1144.4539323564445
cattle,beef,conventional,1713,1091.432000026533
sheep,none,conventional,1713,1302.5139526927796
pigs,none,conventional,1713,72.06014887476294
poultry,layer,conventional,1713,2398.5297733963957
poultry,broiler,conventional,1713,0.0
cattle,dairy,conventional,1721,616.2276938130244
cattle,beef,conventional,1721,621.2939594229978
sheep,none,conventional,1721,934.971778445318
pigs,none,conventional,1721,402.0637622528447
poultry,layer,conventional,1721,4361.807272117923
poultry,broiler,conventional,1721,0.0
cattle,dairy,conventional,1722,1282.0878873876725
cattle,beef,conventional,1722,738.2595262403704
sheep,none,conventional,1722,657.2003328641689
pigs,none,conventional,1722,923.7345326088692
poultry,layer,conventional,1722,4399.004172946083
poultry,broiler,conventional,1722,0.0
cattle,dairy,conventional,1723,186.33544967105297
cattle,beef,conventional,1723,349.38753026392624
sheep,none,conventional,1723,917.7851517306622
pigs,none,conventional,1723,65.79396675994356
poultry,layer,conventional,1723,6007.035090990328
poultry,broiler,conventional,1723,0.0
cattle,dairy,conventional,1724,464.4664445347832
cattle,beef,conventional,1724,493.48839103226254
sheep,none,conventional,1724,1011.4027563769562
pigs,none,conventional,1724,222.7621674222456
poultry,layer,conventional,1724,72.50333324806621
poultry,broiler,conventional,1724,0.0
cattle,dairy,conventional,1811,1242.0367746101751
cattle,beef,conventional,1811,578.5105201307833
sheep,none,conventional,1811,2393.2886000671365
pigs,none,conventional,1811,459.5011844482419
poultry,layer,conventional,1811,352395.4458030596
poultry,broiler,conventional,1811,16651.056141611807
cattle,dairy,conventional,1812,1665.7212128679462
cattle,beef,conventional,1812,862.4976361411548
sheep,none,conventional,1812,2176.978605494319
pigs,none,conventional,1812,1857.287616652299
poultry,layer,conventional,1812,115620.95555585012
poultry,broiler,conventional,1812,71225.11084615372
cattle,dairy,conventional,1813,805.9271138584312
cattle,beef,conventional,1813,561.5393970747481
sheep,none,conventional,1813,867.9007523799867
pigs,none,conventional,1813,889.9688180652847
poultry,layer,conventional,1813,49143.12337440706
poultry,broiler,conventional,1813,3927.714090814382
cattle,dairy,conventional,1821,703.8638146161802
cattle,beef,conventional,1821,617.411518182423
sheep,none,conventional,1821,1269.9832474573327
pigs,none,conventional,1821,1583.2935535054971
poultry,layer,conventional,1821,96439.61555624036
poultry,broiler,conventional,1821,40.3668590555531
cattle,dairy,conventional,1911,1176.048569838846
cattle,beef,conventional,1911,669.3835792223342
sheep,none,conventional,1911,1467.761013722878
pigs,none,conventional,1911,3020.4873958189883
poultry,layer,conventional,1911,97265.11181854426
poultry,broiler,conventional,1911,166831.03890294104
cattle,dairy,conventional,1912,1056.008217266954
cattle,beef,conventional,1912,396.3847196025753
sheep,none,conventional,1912,783.6924821264164
pigs,none,conventional,1912,464.63572602468247
poultry,layer,conventional,1912,339.13348475354843
poultry,broiler,conventional,1912,676.1758420690234
cattle,dairy,conventional,1921,1187.3766588259682
cattle,beef,conventional,1921,610.249749047138
sheep,none,conventional,1921,1088.3788526505623
pigs,none,conventional,1921,3668.717513611196
poultry,layer,conventional,1921,51720.21288710276
